doi	state	client_id	updated	source_month
10.13128/acta_herpetol-16434	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-16436	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16441	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16457	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16490	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-16491	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-16512	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16940	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-17147	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-17170	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-17171	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-17181	findable	crui.unifi	2020-06-29T12:38:03Z	2020-06
10.13128/acta_herpetol-17198	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-17406	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-17491	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-17658	findable	crui.unifi	2020-07-30T07:39:43Z	2020-07
10.13128/acta_herpetol-17774	findable	crui.unifi	2020-06-29T14:32:42Z	2020-06
10.13128/acta_herpetol-17820	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-17821	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-17842	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-17873	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-17874	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-17902	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-17922	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-18009	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-18061	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-18075	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-18115	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-18117	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-18119	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-18176	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-18179	findable	crui.unifi	2020-07-30T07:39:43Z	2020-07
10.13128/acta_herpetol-18188	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-18201	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-18261	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-18320	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-18354	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-18614	findable	crui.unifi	2020-06-29T14:32:39Z	2020-06
10.13128/acta_herpetol-18616	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-18695	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-18731	findable	crui.unifi	2020-06-29T15:23:01Z	2020-06
10.13128/acta_herpetol-18737	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-18765	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-1878	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1879	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1880	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1881	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-1882	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1883	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1884	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1885	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1886	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-1887	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-19155	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-19158	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-19981	findable	crui.unifi	2020-07-30T07:39:43Z	2020-07
10.13128/acta_herpetol-19982	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-20147	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-20245	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-20283	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20323	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20339	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20547	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20572	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20574	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-20693	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20700	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20740	findable	crui.unifi	2020-07-30T07:39:44Z	2020-07
10.13128/acta_herpetol-20742	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20841	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20871	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20887	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20890	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20894	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-20920	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-21016	findable	crui.unifi	2020-07-30T07:39:45Z	2020-07
10.13128/acta_herpetol-21026	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21100	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21171	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21192	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21327	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21867	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-21972	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-2213	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-2214	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-2215	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-2216	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-2217	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-2218	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-2219	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-2220	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-2221	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-2222	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-22465	findable	crui.unifi	2020-07-30T07:39:46Z	2020-07
10.13128/acta_herpetol-22518	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22592	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22611	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22817	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22830	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22855	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22876	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22886	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-22955	findable	crui.unifi	2020-07-30T07:39:47Z	2020-07
10.13128/acta_herpetol-23189	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23290	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23366	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23394	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23582	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23871	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-23941	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-24102	findable	crui.unifi	2020-07-30T07:39:48Z	2020-07
10.13128/acta_herpetol-24274	findable	crui.unifi	2020-07-30T07:39:49Z	2020-07
10.13128/acta_herpetol-24651	findable	crui.unifi	2020-07-30T07:39:49Z	2020-07
10.13128/acta_herpetol-2477	findable	crui.unifi	2020-07-30T07:39:49Z	2020-07
10.13128/acta_herpetol-2478	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
